Fleet,SailNo,AltSailNo,HelmName,HelmAgeGroup,HelmSex,RaceNo,Code
Pro,82,,Kevin Greenslade,M,M,2,ATT
Pro,659,,James Dinsmore,M,M,2,ATT
Pro,67,,Simon Pettifer,M,M,2,ATT
Pro,34,,Mark Ingram,M,M,2,ATT
Pro,427,,Leigh Kingaby,-,M,2,ATT
Pro,945,,Nick Welsh,-,M,2,ATT
Pro,68,,Scotty Stallman,U20,M,2,ATT
Pro,606,y 2,Garry Connell,M,M,2,ATT
Pro,71,,Sarah Jackson,-,F,2,ATT
Pro,97,,Paul Sibley,-,M,2,ATT
Pro,630,,Shaun Cook,-,M,2,ATT
Pro,14,,Scott Harrison,M,M,2,ATT
Pro,131,y 4,Paul Simmons,M,M,2,ATT
Pro,96,,Jenna Gibson,-,F,2,ATT
Pro,616,,Sam Anstey,U20,M,2,ATT
Pro,86,,Jonathon Mobbs,V,M,2,ATT
Pro,120,,Larry Chan,V,M,2,ATT
Pro,426,,James Faley,U20,M,2,ATT
Pro,359,y 11,Josh Lane,U20,M,2,ATT
Pro,K77,,Ant Baker,M,M,2,ATT
Pro,544,,Peter Whitmore,M,M,2,ATT
