Fleet,HelmName,RaceNo,Code
Amateur,Gerry Northwood,1,ATT
Amateur,David Strudwick,1,ATT
Amateur,Tim Gulland,1,ATT
Amateur,Tim Gibson,1,ATT
Amateur,Simon Chippington,1,ATT
Amateur,Charles Milner,1,ATT
Amateur,Peter Whitmore,1,ATT
Amateur,Bob Ingram,1,ATT
Amateur,Martin Jerrard,1,ATT
Amateur,Daryl Langford,1,ATT
Amateur,Larry Chan,1,ATT
Amateur,Mike Poole,1,ATT
Amateur,Tyler Baker,1,ATT
Amateur,Josh Lane,1,ATT
Amateur,Lewis Limm,1,ATT
Amateur,Sian Harrison,1,ATT
Amateur,Alice Read,1,ATT
Amateur,Rafferty Read,1,ATT
Amateur,Alexander Hopkins,1,ATT
Amateur,James Faley,1,ATT
Amateur,Katherine Skinner,1,ATT
Amateur,James Bishop,1,ATT
