Fleet,HelmName,RaceNo,Code
Pro,Kevin Greenslade,4,ATT
Pro,Simon Pettifer,4,ATT
Pro,Leigh Kingaby,4,ATT
Pro,Nick Welsh,4,ATT
Pro,Scotty Stallman,4,ATT
Pro,James Battye,4,ATT
Pro,Garry Connell,4,ATT
Pro,Ian Roberts,4,ATT
Pro,Jack Bassett,4,ATT
Pro,Paul Sibley,4,ATT
Pro,Shaun Cook,4,ATT
Pro,Kacper Wozniak,4,ATT
Pro,Simon Cofield,4,ATT
