Fleet,HelmName,RaceNo,Code
Amateur,David Strudwick,4,ATT
Amateur,Tim Gulland,4,ATT
Amateur,Mark Palmer,4,ATT
Amateur,Tim Gibson,4,ATT
Amateur,Bob Ingram,4,ATT
Amateur,Larry Chan,4,ATT
Amateur,George Warren,4,ATT
Amateur,Alastair Campbell,4,ATT
Amateur,Andy Stuart-William,4,ATT
Amateur,Ian Kraft,4,ATT
Amateur,Sam Anstey,4,ATT
Amateur,Grant Cottrel,4,ATT
Amateur,George Fulton,4,ATT
Amateur,Josh Lane,4,ATT
Amateur,Mike Poole,4,ATT
Amateur,Peter Whitmore,4,ATT
Amateur,Max Sellar,4,ATT
Amateur,Edie Marsh,4,ATT
