Tally,Fleet,Division,SailNo,AltSailNo,HelmName,HelmAgeGroup,HelmSex,RaceNo,Code
21,Pro,,659,,James Dinsmore,M,M,5,ATT
22,Pro,,67,,Simon Pettifer,M,M,5,ATT
23,Pro,,888,,Michael George,M,M,5,ATT
24,Pro,,945,,Nick Welsh,-,M,5,ATT
25,Pro,,68,,Scotty Stallman,-,M,5,ATT
26,Pro,,14,,Scott Harrison,M,M,5,ATT
20,Pro,,426,,James Faley,Y,M,5,ATT
17,Pro,,620,,Benjamin Robbins,,M,5,ATT
18,Pro,,40,931,Tim Gibson,M,M,5,ATT
19,Pro,,98,,Mark Palmer,GM,M,5,ATT
16,Pro,,3504,,Tim Laine,GM,M,5,ATT
