Fleet,HelmName,RaceNo,Code
Amateur,David Strudwick,3,ATT
Amateur,Tim Gulland,3,ATT
Amateur,Tim Gibson,3,ATT
Amateur,Simon Chippington,3,ATT
Amateur,Charles Milner,3,ATT
Amateur,Peter Whitmore,3,ATT
Amateur,Bob Ingram,3,ATT
Amateur,Daryl Langford,3,ATT
Amateur,Larry Chan,3,ATT
Amateur,Andy Stuart-William,3,ATT
Amateur,Tyler Baker,3,ATT
Amateur,Josh Lane,3,ATT
Amateur,Sian Harrison,3,ATT
Amateur,Lewis Limm,3,ATT
Amateur,Soukie Falkner,3,ATT
Amateur,Katherine Skinner,3,ATT
Amateur,Mark Palmer,3,ATT
