Tally,Fleet,Division,SailNo,AltSailNo,HelmName,HelmAgeGroup,HelmSex,RaceNo,Code
25,Pro,,67,961,Simon Pettifer,M,M,3,ATT
26,Pro,,888,,Michael George,M,M,3,ATT
27,Pro,,427,IT160,Leigh Kingaby,GM,M,3,ATT
28,Pro,,945,,Nick Welsh,-,M,3,ATT
29,Pro,,68,,Scotty Stallman,Y,M,3,ATT
22,Pro,,14,,Scott Harrison,GM,M,3,ATT
23,Pro,,96,T,Jenna Gibson,-,F,3,ATT
24,Pro,,426,,James Faley,Y,M,3,ATT
19,Pro,,40,,Tim Gibson,M,M,3,ATT
20,Pro,,98,,Mark Palmer,GM,M,3,ATT
21,Pro,,248,,Alice Read,-,F,3,ATT
17,Pro,,562,,Joseph Drake,-,M,3,ATT
15,Pro,,nor 41,,Martin Moller Hovda,,M,3,ATT
16,Pro,,470,1,Douglas Reid,,M,3,ATT
