Fleet,SailNo,AltSailNo,HelmName,HelmAgeGroup,HelmSex,RaceNo,Code
Amateur,192,,Daryl Langford,V,M,3,ATT
Amateur,88,,Roger Clark,V,M,3,ATT
Amateur,35,,Gerard Northwood,V,M,3,ATT
Amateur,b6,,Soukie Faulkner,U17,F,3,ATT
Amateur,984,,Simon Chippington,M,M,3,ATT
Amateur,736,,Nick Deakin,V,M,3,ATT
Amateur,454,,Tim Gulland,V,M,3,ATT
Amateur,572,,Thomas Harrison,M,M,3,ATT
Amateur,168,,Lewis Limm,U17,M,3,ATT
Amateur,441,,Charles Milner,V,M,3,ATT
Amateur,817,,James Oakley,U20,M,3,ATT
Amateur,44,,Dave Strudwick,V,M,3,ATT
Amateur,16,,Bob Ingram,V,M,3,ATT
Amateur,263,,Andy Stuart-Williams,M,M,3,ATT
Amateur,40,b9,Tim Gibson,M,M,3,ATT
Amateur,65,,Greg Baldock,,M,3,ATT
Amateur,527,b11,Billy Ellis,U20,M,3,ATT
Amateur,AUS1234,,Mark Palmer,M,M,3,ATT
Amateur,209,,Tyler Baker,U20,M,3,ATT
Amateur,298,,Sam Jones,U20,M,3,ATT
Amateur,B7,,Charlie Dixon,U17,M,3,ATT
Amateur,b12,,Simon Thompson,-,M,3,ATT
