Tally,Fleet,Division,SailNo,AltSailNo,HelmName,HelmAgeGroup,HelmSex,RaceNo,Code
19,Pro,,659,,James Dinsmore,M,M,2,ATT
20,Pro,,67,,Simon Pettifer,M,M,2,ATT
21,Pro,,888,,Michael George,M,M,2,ATT
22,Pro,,427,IT160,Leigh Kingaby,M,M,2,ATT
23,Pro,,945,,Nick Welsh,-,M,2,ATT
24,Pro,,68,,Scotty Stallman,-,M,2,ATT
17,Pro,,96,,Jenna Gibson,-,F,2,ATT
18,Pro,,426,,James Faley,Y,M,2,ATT
13,Pro,,98,,Mark Palmer,GM,M,2,ATT
14,Pro,,433,,Andy Turvey,GM,M,2,ATT
15,Pro,,562,,Joseph Drake,-,M,2,ATT
