Tally,Fleet,Division,SailNo,AltSailNo,HelmName,HelmAgeGroup,HelmSex,RaceNo,Code
1,Amateur,,88,,Roger Clark,GM,M,1,ATT
2,Amateur,,199,,Alistair Campbell,M,M,1,ATT
3,Amateur,,16,,Bob Ingram,V,M,1,ATT
4,Amateur,,433,,Andy Turvey,GM,M,1,ATT
5,Amateur,,710,,Ian Beaton,GM,M,1,ATT
6,Amateur,,559,,Andrew Twinn,,M,1,ATT
7,Amateur,,554,1,Lilia Yelland,J,F,1,ATT
8,Amateur,,236,,Pedro Costa,M,M,1,ATT
9,Amateur,,453,,Scott Norman,J,M,1,ATT
10,Amateur,,54,x,Lee Marrs,-,M,1,ATT
11,Amateur,,3339,,Oliver Cooper,J,M,1,ATT
,Amateur,,337,,Tim Bate,M,M,1,ATT
