Tally,Fleet,Division,SailNo,AltSailNo,HelmName,HelmAgeGroup,HelmSex,RaceNo,Code
16,Pro,,659,,James Dinsmore,M,M,1,ATT
17,Pro,,888,,Michael George,M,M,1,ATT
21,Pro,,427,IT160,Leigh Kingaby,-,M,1,ATT
18,Pro,,945,,Nick Welsh,-,M,1,ATT
19,Pro,,68,,Scotty Stallman,-,M,1,ATT
20,Pro,,14,,Scott Harrison,GM,M,1,ATT
14,Pro,,426,,James Faley,-,M,1,ATT
15,Pro,,98,,Mark Palmer,GM,M,1,ATT
4,Pro,,433,,Andy Turvey,GM,M,1,ATT
12,Pro,,562,,Joseph Drake,-,M,1,ATT
13,Pro,,577,248,Rafferty Read,Y,M,1,ATT
,Pro,,67,,Simon Pettifer,M,M,1,ATT
,Pro,,96,,Jenna Gibson,,F,1,ATT
